date,code,name,score,regime,ret_pct
2025-09-04,009420,한올바이오파마,97.81,neutral,-1.0786
2025-09-04,140410,메지온,97.75,neutral,-0.9785
2025-09-04,095340,ISC,97.27,neutral,-0.9479
2025-09-04,476060,온코닉테라퓨틱스,96.88,neutral,-0.8118
2025-09-05,001040,CJ,100.00,neutral,-0.9112
2025-09-05,248070,솔루엠,97.84,neutral,-1.1506
2025-09-05,042660,한화오션,97.33,neutral,-0.6222
2025-09-05,100090,SK오션플랜트,97.01,neutral,0.1953
2025-09-05,290650,엘앤씨바이오,96.87,neutral,6.8802
2025-09-08,322000,HD현대에너지솔루션,100.00,neutral,-1.7176
2025-09-08,056080,유진로봇,98.66,neutral,0.7463
2025-09-08,466100,클로봇,97.52,neutral,1.1338
2025-09-08,290650,엘앤씨바이오,94.96,neutral,0.1021
2025-09-08,075580,세진중공업,93.90,neutral,6.3830
2025-09-09,222800,심텍,100.00,neutral,3.1746
2025-09-09,006910,보성파워텍,97.57,neutral,0.1159
2025-09-09,067310,하나마이크론,97.27,neutral,1.5228
2025-09-09,448900,한국피아이엠,97.22,neutral,1.2382
2025-09-09,466100,클로봇,96.75,neutral,2.3256
2025-09-10,000990,DB하이텍,99.81,strong,4.1667
2025-09-10,090710,휴림로봇,97.10,strong,0.8347
2025-09-10,466100,클로봇,96.29,strong,-1.8832
2025-09-10,001270,부국증권,94.64,strong,0.0000
2025-09-10,010170,대한광통신,94.56,strong,0.1308
2025-09-11,336260,두산퓨얼셀,100.00,neutral,5.2033
2025-09-11,004370,농심,98.38,neutral,18.4426
2025-09-11,475150,SK이터닉스,97.17,neutral,4.2683
2025-09-11,082270,젬백스,96.04,neutral,-0.1698
2025-09-11,100090,SK오션플랜트,95.88,neutral,0.0000
2025-09-12,005290,동진쎄미켐,100.00,neutral,2.9006
2025-09-12,056080,유진로봇,100.00,neutral,6.4767
2025-09-12,036620,감성코퍼레이션,100.00,neutral,3.2659
